zone,invalidation,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,total_trades,win_rate,expectancy,profit_factor,max_drawdown
0.236-0.382,0.618,4.5,60,100,80,56,51.78571428571429,-0.08626311349309879,0.9190582850736666,-21.540250013082208
0.236-0.382,0.618,5.5,60,60,160,44,56.81818181818182,-0.10904420286839281,0.9180801824385149,-21.055175837463864
0.236-0.382,0.618,5.5,60,80,160,44,56.81818181818182,-0.10904420286839281,0.9180801824385149,-21.055175837463864
0.236-0.382,0.618,6.0,60,60,120,42,59.523809523809526,-0.1307968075931723,0.9041147760981001,-23.267404202556847
0.236-0.382,0.618,6.0,60,80,120,42,59.523809523809526,-0.1307968075931723,0.9041147760981001,-23.267404202556847
0.236-0.382,0.618,5.5,80,100,80,40,50.0,-0.1218353937902245,0.9017341995129647,-19.157858385124875
0.236-0.382,0.618,5.5,80,60,80,38,52.63157894736842,-0.13653578707500713,0.8960439436062627,-19.620412506844374
0.236-0.382,0.618,5.5,80,80,80,38,52.63157894736842,-0.13653578707500713,0.8960439436062627,-19.620412506844374
0.236-0.382,0.618,5.5,60,100,120,45,60.0,-0.16400947695827564,0.8782978491734874,-22.15814475254181
0.236-0.382,0.618,5.0,60,60,160,48,56.25,-0.1651782186486935,0.8757130325747864,-23.388685789224684
0.236-0.382,0.618,5.0,60,80,160,48,56.25,-0.1651782186486935,0.8757130325747864,-23.388685789224684
0.236-0.382,0.618,5.0,60,100,120,48,56.25,-0.20947784589875984,0.8408839426809503,-22.94224872189143
0.236-0.382,0.618,4.5,80,60,160,46,52.17391304347826,-0.2095711264418,0.834312969323921,-27.81667204568585
0.236-0.382,0.618,5.0,60,100,160,48,56.25,-0.22682216350919016,0.8324146017276789,-23.615584371436334
0.236-0.382,0.618,5.0,60,60,120,48,56.25,-0.23012706659907703,0.8263295035061862,-23.35355427491479
0.236-0.382,0.618,5.0,60,80,120,48,56.25,-0.23012706659907703,0.8263295035061862,-23.35355427491479
0.236-0.382,0.618,4.5,60,100,120,55,56.36363636363636,-0.22390115921476156,0.8242014759753431,-26.59563723357141
0.236-0.382,0.618,6.0,100,100,120,29,51.724137931034484,-0.22751331360273366,0.8177913503624176,-24.11576907886537
0.236-0.382,0.618,4.5,60,60,120,55,56.36363636363636,-0.24192229728049294,0.8111607752626486,-27.00694278659477
0.236-0.382,0.618,4.5,60,80,120,55,56.36363636363636,-0.24192229728049294,0.8111607752626486,-27.00694278659477
0.236-0.382,0.618,5.5,60,60,120,45,57.77777777777777,-0.28496008330187317,0.7976179869515968,-24.303794341597314
0.236-0.382,0.618,5.5,60,80,120,45,57.77777777777777,-0.28496008330187317,0.7976179869515968,-24.303794341597314
0.236-0.382,0.618,6.0,100,80,120,28,50.0,-0.28587884357918625,0.7789430244061236,-24.11576907886537
0.236-0.382,0.618,4.5,100,80,80,42,52.38095238095239,-0.257725276903984,0.7703338115439181,-19.736459671070484
0.236-0.382,0.618,4.5,60,60,160,55,54.54545454545454,-0.31110230900397606,0.7673967912977695,-29.41808207337777
0.236-0.382,0.618,4.5,60,80,160,55,54.54545454545454,-0.31110230900397606,0.7673967912977695,-29.41808207337777
0.236-0.382,0.618,4.5,100,100,80,42,50.0,-0.2809270495140859,0.7504396597249379,-19.736459671070484
0.236-0.382,0.618,6.0,100,60,80,29,44.827586206896555,-0.3380557849155429,0.73331621771138,-22.078189924040295
0.236-0.382,0.618,4.5,60,100,160,55,54.54545454545454,-0.36490066088222767,0.7314601253500828,-32.79765687151773
0.236-0.382,0.618,4.5,100,60,80,42,50.0,-0.3107719482080468,0.7250799375221565,-21.964419865841116
0.236-0.382,0.618,5.5,100,100,120,31,48.38709677419355,-0.37563984917600307,0.7225819557333379,-23.677401676766635
0.236-0.382,0.618,6.0,100,80,80,29,44.827586206896555,-0.3686131484846485,0.7160550362228489,-22.964353467544356
0.236-0.382,0.618,6.0,100,100,80,30,43.333333333333336,-0.36124637568443385,0.7132584516859847,-22.964353467544356
0.236-0.382,0.618,5.5,100,60,80,31,45.16129032258064,-0.3783631838997396,0.709614305451867,-18.75927538844363
0.236-0.382,0.618,6.0,100,60,120,28,50.0,-0.42563246492317025,0.7029758957904029,-28.02887047649692
0.236-0.382,0.618,5.0,100,60,80,34,44.11764705882353,-0.3773367137114258,0.6968399025125853,-20.51074227724271
0.236-0.382,0.618,5.5,100,80,80,31,45.16129032258064,-0.40694910465793516,0.6943802376592147,-19.64543893194769
0.236-0.382,0.618,5.5,100,100,80,32,43.75,-0.3988447565273187,0.6919059943110698,-19.64543893194769
0.236-0.382,0.618,5.5,100,80,120,30,46.666666666666664,-0.43505189500646774,0.6890692504331226,-23.677401676766635
0.236-0.382,0.618,5.0,100,100,120,33,45.45454545454545,-0.4197583044415703,0.6864848974980392,-25.88459039888236
0.236-0.382,0.618,5.0,100,80,80,34,44.11764705882353,-0.40340034734389824,0.6825473201555057,-21.396905820746774
0.236-0.382,0.618,5.0,100,80,120,33,45.45454545454545,-0.43732972991405117,0.67336089923566,-25.88459039888236
0.236-0.382,0.618,5.0,100,100,80,34,41.17647058823529,-0.43206136056814176,0.6611504391858279,-21.396905820746774
0.236-0.382,0.618,4.5,100,100,120,40,45.0,-0.47693583402248513,0.6387281244310995,-32.65117469045031
0.236-0.382,0.618,6.0,100,100,160,29,44.827586206896555,-0.585942288556775,0.6372584466534896,-30.51442845961821
0.236-0.382,0.618,4.5,100,60,120,40,47.5,-0.5096640457246411,0.6321288267437452,-33.38044611794468
0.236-0.382,0.618,5.5,100,60,120,30,46.666666666666664,-0.5654886082608529,0.6303099497109685,-27.590503074398185
0.236-0.382,0.618,4.5,100,80,120,40,45.0,-0.49143226003728185,0.6277472950578038,-32.65117469045031
0.236-0.382,0.618,5.0,100,60,120,33,45.45454545454545,-0.5559085601453102,0.6185761703679897,-29.797691796513917
